"date","pixelSize","par1","par2","par3","par4","par5","par6","par7"
"2018-05-18",100,-0.255744847773767,-2.48874580638343,-1.62398492055945,-2.25446136444733,2.2983217794681,4.71955387550406,0.850655694289403
"2022-08-06",250,-0.306512583093718,-1.7897353579592,-1.4040293342853,-2.02250974658877,2.52143385431958,4.44209892185679,0.836707289388869
"2023-09-07",250,-0.389828710662422,-1.16734620909691,-0.866603762239218,-1.48961503520608,3.24050961183943,4.60514445007298,0.869628018409588
"2023-09-07",250,-0.151948646433651,-1.52243434665073,-1.54466187754484,-2.18038234580308,1.8661887162989,4.61369338098448,0.8354953135713
"2023-09-07",250,-0.432002184300683,-1.41982170406263,-2.6363075754201,-1.67608231212944,3.41351832053624,4.83022229709208,0.884801830721553
"2023-09-07",250,-0.222548390237572,-0.602167393361777,-1.93639506847683,-2.83102239621803,2.35630885662977,3.8648922396399,0.863040588260073
"2023-09-07",250,-0.201638354664795,-1.06306336492076,-0.684043501326509,-1.87171184758842,1.96116189282279,4.22556645849274,0.861849590320005
"2023-09-07",250,-0.255744847773767,-2.48874580638343,-1.62398492055945,-2.25446136444733,2.2983217794681,4.71955387550406,0.850655694289403
"2023-05-11",250,-0.252171466816329,-1.85474260491226,-1.90671311382111,-2.8829049426131,2.44157961534802,4.89789843809603,0.905705153592862
"2023-17-11",250,-0.456438404974528,-0.611836065612733,-0.900620701466202,-2.77424047623226,3.0338047639234,4.93122393044177,0.830068114569411
